First Name,Last Name,Lecture Section,Lab Section,Lab1,Lab2,Lab3,Lab4,Lab5,Lab6,Lab7,Lab8,Lab9,Lab10,Lab Points,Homework,Homework,Homework,Homework,Homework,Homework,Homework,Homework,Homework,Homework,Homework Points,Program1,Program2,Program3,Program4,Program5,Program6,Program Points,Test1,Test2,Test Points,Final Exam,Final Exam Points,Overall Percent,Final Grade
dngAW,tFEiB,CS140-001,CS140-021,6,7,6,8,9,9,9,7,6,6,7.30,9,7,7,8,8,6,6,8,9,7,7.50,90,70,70,70,60,70,21.50,90,80,25.50,60,12.0,73.8,C
qwUdR,SNgyZ,CS140-001,CS140-021,7,9,6,7,6,7,7,6,9,8,7.20,9,7,8,6,9,8,7,9,7,9,7.90,70,70,70,60,60,60,19.50,80,60,21.00,60,12.0,67.6,D
ODieb,RBPlb,CS140-001,CS140-021,6,7,8,7,9,7,7,8,9,6,7.40,8,9,8,8,7,6,7,7,7,6,7.30,70,70,90,80,70,70,22.50,70,90,24.00,70,14.0,75.2,C
tyMVV,etqpM,CS140-001,CS140-021,7,8,6,7,7,9,6,7,8,7,7.20,6,9,8,6,9,7,8,6,8,6,7.30,70,80,60,70,90,70,22.00,90,90,27.00,80,16.0,79.5,C
VQTdF,ybhlF,CS140-001,CS140-021,7,8,8,8,8,7,8,6,9,7,7.60,8,9,6,6,6,7,8,6,9,6,7.10,90,60,90,70,80,90,24.00,80,70,22.50,60,12.0,73.2,C
PMCxi,rGedq,CS140-001,CS140-021,9,7,6,7,8,9,8,7,8,8,7.70,8,6,9,9,8,6,8,9,9,8,8.00,80,60,60,80,80,80,22.00,80,90,25.50,80,16.0,79.19999999999999,C
drejL,mRLqF,CS140-001,CS140-021,9,7,6,7,9,6,6,6,9,9,7.40,6,8,8,9,9,9,7,7,6,9,7.80,70,80,80,90,90,60,23.50,60,90,22.50,80,16.0,77.19999999999999,C
dMpIa,qynzb,CS140-001,CS140-021,8,8,9,6,7,7,7,9,6,9,7.60,6,6,9,9,7,7,7,7,9,7,7.40,60,90,90,80,90,60,23.50,70,60,19.50,60,12.0,70.0,C
XpbKF,vynGr,CS140-001,CS140-021,9,8,9,8,6,6,7,9,6,8,7.60,8,6,9,7,9,9,7,7,6,9,7.70,60,70,90,70,90,90,23.50,90,80,25.50,90,18.0,82.3,B
nPaol,QIssP,CS140-001,CS140-021,7,6,6,6,7,6,6,8,8,6,6.60,9,7,6,7,9,8,6,7,7,7,7.30,60,80,70,60,70,60,20.00,70,80,22.50,90,18.0,74.4,C
GoCik,rQmUT,CS140-001,CS140-021,7,6,8,8,6,6,8,7,6,8,7.00,7,7,7,9,9,9,7,8,7,6,7.60,90,70,70,60,80,80,22.50,70,90,24.00,80,16.0,77.1,C
SitHa,lyndv,CS140-001,CS140-021,6,7,7,7,6,8,6,8,6,9,7.00,8,9,7,7,9,6,8,7,7,9,7.70,90,60,80,90,80,90,24.50,80,60,21.00,80,16.0,76.2,C
Gjdfj,XFrNE,CS140-001,CS140-021,7,9,9,8,7,9,9,9,9,7,8.30,9,7,7,8,7,6,8,8,7,7,7.40,90,90,70,90,60,70,23.50,80,90,25.50,80,16.0,80.69999999999999,B
iGFdp,Bhsvr,CS140-001,CS140-021,9,6,6,7,8,9,6,8,8,6,7.30,8,6,6,7,9,7,6,8,9,6,7.20,90,60,80,70,80,70,22.50,90,80,25.50,90,18.0,80.5,B
JTHzi,CtbUr,CS140-001,CS140-021,8,7,6,6,6,8,6,9,6,6,6.80,9,8,6,9,8,9,7,8,8,9,8.10,80,90,60,90,90,70,24.00,70,60,19.50,80,16.0,74.4,C
